gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000411	1.156697	-0.0001589473	0.050964665	0.90035	NA
ENSMUSG00000000416	1335.491	0.0002617022	0.011382102	0.6558445	0.9984822
ENSMUSG00000000420	438.7023	-0.0006957776	0.011666374	0.3049539	0.9984822
ENSMUSG00000000439	226.3366	-0.0002769977	0.010408856	0.6366159	0.9984822
ENSMUSG00000000440	6.147725	-0.0009403095	0.030699744	0.2035755	0.9893112
ENSMUSG00000000441	616.2114	7.000996e-05	0.007789589	0.9032959	0.9984822
ENSMUSG00000000486	0.4915619	-0.001959233	0.095436289	0.3723901	NA
ENSMUSG00000000489	76.48786	-0.000108814	0.011287494	0.8489454	0.9984822
ENSMUSG00000000530	70.57013	0.0003081806	0.015783056	0.5710355	0.9984822
ENSMUSG00000000531	178.9267	-6.295792e-05	0.01335435	0.9087061	0.9984822
ENSMUSG00000000532	695.7537	-0.0001814809	0.007844368	0.7564196	0.9984822
ENSMUSG00000000538	1323.348	-0.0001009753	0.00837113	0.8582515	0.9984822
ENSMUSG00000000544	0.1141582	-0.000348052	0.100537027	0.8803288	NA
ENSMUSG00000000552	71.74421	-0.0004159231	0.017668743	0.4520957	0.9984822
ENSMUSG00000000555	45.25267	-1.861129e-05	0.01665346	0.9703457	0.9993524
ENSMUSG00000000560	499.2343	-0.0005491908	0.012590582	0.3944388	0.9984822
ENSMUSG00000000561	371.4399	0.000350889	0.009165715	0.5547359	0.9984822
ENSMUSG00000000562	5.270859	9.874162e-05	0.024579946	0.870394	0.9984822
ENSMUSG00000000563	1088.493	-0.00134357	0.016554695	0.1301201	0.9805731
ENSMUSG00000000567	103.692	0.0002552554	0.013399377	0.6552676	0.9984822
ENSMUSG00000000568	912.8582	-0.0002209746	0.010151728	0.7022677	0.9984822
ENSMUSG00000000579	56.71413	0.0009185902	0.019070749	0.1927843	0.9852527
ENSMUSG00000000581	246.9669	0.001097266	0.016137063	0.1735104	0.9805731
ENSMUSG00000000594	259.3683	-0.002136248	0.021198034	0.06527472	0.9312891
ENSMUSG00000000600	650.3118	0.000451058	0.01020816	0.4633838	0.9984822
ENSMUSG00000000605	1216.878	-0.0002014156	0.00891517	0.7246523	0.9984822
ENSMUSG00000000627	159.6945	-0.0006115851	0.01465142	0.3470759	0.9984822
ENSMUSG00000000628	22.4021	0.0001651106	0.015435064	0.7518406	0.9984822
ENSMUSG00000000631	1051.101	-0.0009953576	0.014167715	0.1974696	0.9867742
ENSMUSG00000000632	1850.396	-7.752514e-05	0.011878672	0.891341	0.9984822
ENSMUSG00000000673	0.8086031	0.001795678	0.092175319	0.3998135	NA
ENSMUSG00000000682	5.48929	-0.0004520984	0.025681075	0.4656078	0.9984822
ENSMUSG00000000686	9.267602	0.001238047	0.039374809	0.1660345	0.9805731
ENSMUSG00000000690	0.04352309	0	0.099713563	1	NA
ENSMUSG00000000693	23.95024	0.0003949378	0.016750102	0.4761861	0.9984822
ENSMUSG00000000706	0.7553126	-0.00349627	0.122059169	0.2046269	NA
ENSMUSG00000000708	321.7361	0.001480607	0.016244634	0.1109206	0.9805731
ENSMUSG00000000711	858.337	0.001325426	0.015874012	0.1317785	0.9805731
ENSMUSG00000000724	0.2199919	-0.001449703	0.111818206	0.5606425	NA
ENSMUSG00000000730	0.112619	0.0001577859	0.099568865	0.9452396	NA
ENSMUSG00000000731	0.4760497	0.0001429328	0.068439067	0.9331587	NA
ENSMUSG00000000732	21.13905	0.0007403664	0.02252163	0.2445304	0.9984822
ENSMUSG00000000738	232.5271	-0.0002252064	0.009925932	0.6965135	0.9984822
ENSMUSG00000000739	0.4925585	-0.0003758524	0.089154129	0.8598272	NA
ENSMUSG00000000740	1611.408	0.0004877941	0.009760227	0.4327771	0.9984822
ENSMUSG00000000743	463.6865	0.0008422323	0.012001775	0.2410852	0.9984822
ENSMUSG00000000751	316.9118	5.584859e-05	0.009076873	0.9207367	0.9984822
ENSMUSG00000000753	27.42424	-7.825218e-05	0.01429137	0.8831638	0.9984822
ENSMUSG00000000759	371.6624	-0.0007600838	0.011767109	0.2743412	0.9984822
ENSMUSG00000000766	157.8792	0.0008443096	0.01762891	0.2241154	0.994391
ENSMUSG00000000776	76.67427	0.0001377428	0.01150378	0.8100537	0.9984822
ENSMUSG00000000782	33.1218	-0.002226042	0.034583354	0.04482801	0.8542043
ENSMUSG00000000787	1972.046	-0.00221085	0.023670605	0.06061739	0.9090073
ENSMUSG00000000791	3.774701	0.001731581	0.060752171	0.1909244	0.9849425
ENSMUSG00000000792	32.95848	0.0003644629	0.018160129	0.4996913	0.9984822
ENSMUSG00000000794	578.4088	1.945263e-05	0.00944653	0.9723829	0.9994695
ENSMUSG00000000804	1185.352	-0.03676578	0.092720345	0.001158605	0.2332322
ENSMUSG00000000805	31.62726	-0.1759651	0.486756951	0.0002303604	0.09283405
ENSMUSG00000000811	18.77937	-0.001135531	0.024458656	0.1323423	0.9805731
ENSMUSG00000000817	1.023547	-0.002538424	0.099120363	0.2589896	NA
ENSMUSG00000000823	588.6465	-0.000710431	0.010592403	0.2945333	0.9984822
ENSMUSG00000000826	2252.82	-0.0002077106	0.008264649	0.7192199	0.9984822
ENSMUSG00000000827	284.5211	-0.0001374115	0.009343318	0.8083272	0.9984822
ENSMUSG00000000838	422.1272	-0.001178665	0.01590067	0.1572718	0.9805731
ENSMUSG00000000861	552.4992	-0.0008233888	0.016551392	0.2405688	0.9984822
ENSMUSG00000000869	0.3285422	-0.001449703	0.111818206	0.5606425	NA
ENSMUSG00000000876	58.16611	-0.000228579	0.012798681	0.6909923	0.9984822
ENSMUSG00000000881	1030.838	-0.001454512	0.015595823	0.1126009	0.9805731
ENSMUSG00000000884	20.68352	0.0001044721	0.014898709	0.8418266	0.9984822
ENSMUSG00000000889	0.4814151	-0.001067216	0.096317862	0.6346588	NA
ENSMUSG00000000901	10.12486	0.0001784005	0.017273251	0.7266029	0.9984822
ENSMUSG00000000902	352.0886	5.647225e-05	0.009869956	0.9203572	0.9984822
ENSMUSG00000000903	0.3889205	-9.066862e-05	0.098387544	0.9682757	NA
ENSMUSG00000000915	551.3869	-0.0003046616	0.009690065	0.6037145	0.9984822
ENSMUSG00000000916	62.12368	0.000992616	0.017616713	0.1878304	0.9833512
ENSMUSG00000000934	67.52675	-0.0002393012	0.013291314	0.6748587	0.9984822
ENSMUSG00000000938	0.06348594	0	0.099713563	1	NA
ENSMUSG00000000948	587.8019	0.0001142444	0.011613095	0.8414116	0.9984822
ENSMUSG00000000957	39.74837	-8.130782e-05	0.013983104	0.880002	0.9984822
ENSMUSG00000000958	6.232701	0.0005494256	0.025269115	0.3761412	0.9984822
ENSMUSG00000000959	210.415	0.001219069	0.015820679	0.1496492	0.9805731
ENSMUSG00000000976	181.7186	0.0003354181	0.010783126	0.5740749	0.9984822
ENSMUSG00000000982	0.6505131	-0.0006245532	0.080121124	0.7481778	NA
ENSMUSG00000000983	3.062967	-0.0002638366	0.030499282	0.7174831	0.9984822
ENSMUSG00000001014	1.668104	-0.0008981752	0.056161058	0.4928686	NA
ENSMUSG00000001016	481.471	0.0005157264	0.010551833	0.4131569	0.9984822
ENSMUSG00000001017	969.5634	0.0004942441	0.009677069	0.4277834	0.9984822
ENSMUSG00000001018	269.4682	0.0004318999	0.010386955	0.4804132	0.9984822
ENSMUSG00000001020	10.0008	0.0004081734	0.018648652	0.4571396	0.9984822
ENSMUSG00000001021	6.655605	0.00120414	0.038925324	0.172653	0.9805731
ENSMUSG00000001023	0.0392667	-0.000348052	0.100537027	0.8803288	NA
ENSMUSG00000001025	42.16831	0.0006545205	0.017118525	0.29935	0.9984822
ENSMUSG00000001027	0.05444717	0	0.099713563	1	NA
ENSMUSG00000001029	8.384816	-0.0001898424	0.021252181	0.7269326	0.9984822
ENSMUSG00000001034	89.72825	-0.0002499009	0.013343202	0.6619596	0.9984822
ENSMUSG00000001036	910.0553	0.0002783865	0.008161872	0.6377953	0.9984822
ENSMUSG00000001039	51.72553	-0.0002702218	0.013480735	0.6374341	0.9984822
ENSMUSG00000001052	334.4063	-0.0003670665	0.011844824	0.5438804	0.9984822
ENSMUSG00000001053	55.37153	0.0002840935	0.014331379	0.6132868	0.9984822
ENSMUSG00000001054	224.918	0.0001247044	0.010567612	0.8272085	0.9984822
ENSMUSG00000001056	124.354	0.001212903	0.017215875	0.1500446	0.9805731
ENSMUSG00000001062	205.0018	-0.000514006	0.01217483	0.4191029	0.9984822
ENSMUSG00000001065	178.7824	0.0006611319	0.012856631	0.3265964	0.9984822
ENSMUSG00000001082	72.04939	0.0004635319	0.015034502	0.4379925	0.9984822
ENSMUSG00000001089	503.7028	-0.0004447487	0.010039224	0.4682949	0.9984822
ENSMUSG00000001098	285.6001	0.0009951129	0.014837051	0.1985192	0.9875176
ENSMUSG00000001100	410.3786	-0.0005090012	0.01125457	0.4206226	0.9984822
ENSMUSG00000001103	4.569532	-0.03003715	0.318315013	0.009455968	0.5612966
ENSMUSG00000001105	170.0648	-0.0002787249	0.011899594	0.6361858	0.9984822
ENSMUSG00000001119	1487.143	-0.0002869928	0.011444679	0.6272349	0.9984822
ENSMUSG00000001120	174.3104	2.604439e-05	0.010169925	0.9632766	0.9984822
ENSMUSG00000001123	18.71089	-0.0004349417	0.018484272	0.4333341	0.9984822
ENSMUSG00000001127	941.3534	0.001249356	0.014492731	0.1410276	0.9805731
ENSMUSG00000001128	25.61347	-0.0002011121	0.016515466	0.6967884	0.9984822
ENSMUSG00000001131	0.1791153	0	0.099713563	1	NA
ENSMUSG00000001134	25.46495	0.0001049266	0.015180177	0.8397831	0.9984822
ENSMUSG00000001138	174.3086	-0.0001563895	0.011976382	0.7848571	0.9984822
ENSMUSG00000001143	187.2564	-8.216105e-05	0.012746889	0.8832373	0.9984822
ENSMUSG00000001150	592.4812	4.698621e-05	0.00812826	0.933844	0.9984822
ENSMUSG00000001151	346.5292	-0.001051295	0.015374262	0.1843876	0.9833355
ENSMUSG00000001155	1.040463	-0.001228955	0.066067424	0.4208541	NA
ENSMUSG00000001156	206.1956	0.0006179749	0.014806192	0.3422331	0.9984822
ENSMUSG00000001157	213.8459	-0.0004622972	0.011366327	0.457788	0.9984822
ENSMUSG00000001158	117.5719	-0.0009408934	0.017282587	0.2020553	0.9893112
ENSMUSG00000001166	4.535791	0.002975038	0.073261008	0.07564794	0.958774
ENSMUSG00000001173	680.5938	0.0001619005	0.009406057	0.7758687	0.9984822
ENSMUSG00000001175	16802.97	-0.000573273	0.009993168	0.3718752	0.9984822
ENSMUSG00000001211	1125.71	-0.0002025596	0.008599007	0.7238033	0.9984822
ENSMUSG00000001225	1.156625	-0.0003149876	0.04709883	0.7851369	NA
ENSMUSG00000001227	592.0852	-0.0009421636	0.012105417	0.2069249	0.9893112
ENSMUSG00000001228	7.522201	0.006332945	0.104723701	0.02418294	0.7283961
ENSMUSG00000001229	235.7013	-0.0005568269	0.013591769	0.3869688	0.9984822
ENSMUSG00000001240	32.10067	0.000341428	0.014706048	0.5485114	0.9984822
ENSMUSG00000001247	18.01572	-0.0002943676	0.016509631	0.5806718	0.9984822
ENSMUSG00000001248	652.8592	5.844107e-05	0.008262093	0.9175257	0.9984822
ENSMUSG00000001249	3.145458	0.0004144457	0.033156237	0.5934404	0.9984822
ENSMUSG00000001260	568.0121	-6.902692e-05	0.012859783	0.9013987	0.9984822
ENSMUSG00000001270	6212.139	0.001185341	0.017024379	0.1550779	0.9805731
ENSMUSG00000001280	383.08	0.001754941	0.019106435	0.08776749	0.9736415
ENSMUSG00000001281	2.886237	-0.0002014451	0.031876806	0.7932433	0.9984822
ENSMUSG00000001285	148.3506	-9.417102e-05	0.010964836	0.8688712	0.9984822
ENSMUSG00000001288	49.62704	-0.0001356799	0.01343823	0.8063211	0.9984822
ENSMUSG00000001289	642.2283	0.000273059	0.010280477	0.6407534	0.9984822
ENSMUSG00000001300	519.3311	-0.0004786294	0.012981505	0.4447495	0.9984822
ENSMUSG00000001305	74.9665	6.168723e-05	0.0112523	0.9136636	0.9984822
ENSMUSG00000001313	403.425	0.0007585909	0.013443916	0.2795834	0.9984822
ENSMUSG00000001323	497.7333	0.0001905231	0.008837741	0.7385023	0.9984822
ENSMUSG00000001333	3.800535	-0.001356494	0.04976974	0.211071	0.9903533
ENSMUSG00000001334	258.0465	-0.0005888532	0.014460445	0.3615046	0.9984822
ENSMUSG00000001348	0.3747691	0.0002674301	0.081377031	0.8926896	NA
ENSMUSG00000001349	2.348044	-0.001259604	0.057174975	0.3222221	0.9984822
ENSMUSG00000001366	349.6968	-0.002794463	0.026798068	0.04251295	0.8463177
ENSMUSG00000001376	707.0902	-0.0001125138	0.009154257	0.8419132	0.9984822
ENSMUSG00000001380	400.4646	-0.0003253537	0.011198746	0.5855289	0.9984822
ENSMUSG00000001383	421.8324	0.0001437099	0.011792031	0.8018373	0.9984822
ENSMUSG00000001403	1.308448	0.0002132555	0.047265108	0.8552403	NA
ENSMUSG00000001415	721.4212	0.0001817313	0.010262372	0.7517884	0.9984822
ENSMUSG00000001416	760.7181	0.0002280279	0.008689122	0.6921612	0.9984822
ENSMUSG00000001418	130.3024	0.0003042112	0.011510495	0.6083796	0.9984822
ENSMUSG00000001419	834.3893	-0.0006455171	0.014837655	0.3276605	0.9984822
ENSMUSG00000001420	2.149282	0.00059636	0.041702657	0.537451	0.9984822
ENSMUSG00000001424	659.5347	0.0007920161	0.011225413	0.258796	0.9984822
ENSMUSG00000001435	24.57736	0.001435446	0.026126023	0.09192029	0.9805731
ENSMUSG00000001436	69.31094	0.0001001707	0.011763815	0.860357	0.9984822
ENSMUSG00000001440	1511.471	0.0008260082	0.010289211	0.2443915	0.9984822
ENSMUSG00000001441	789.8658	-0.0001997291	0.008399109	0.7282137	0.9984822
ENSMUSG00000001444	0.1141582	-0.000348052	0.100537027	0.8803288	NA
ENSMUSG00000001445	240.4018	0.001358969	0.017947003	0.1276768	0.9805731
ENSMUSG00000001467	340.0816	-0.0002549221	0.009144043	0.6594596	0.9984822
ENSMUSG00000001472	2203.513	-6.061517e-05	0.008347132	0.9143304	0.9984822
ENSMUSG00000001473	4.194698	-0.0006202581	0.036799567	0.4592591	0.9984822
ENSMUSG00000001482	279.889	-0.001545307	0.017847007	0.1060589	0.9805731
ENSMUSG00000001493	5.474115	-0.0133302	0.196646225	0.02123662	0.6925858
ENSMUSG00000001494	0.5342352	-0.002610912	0.127550322	0.3474396	NA
ENSMUSG00000001496	13.39145	-0.000155785	0.018705959	0.7613785	0.9984822
ENSMUSG00000001504	1.713454	0.00152186	0.070407626	0.3410751	NA
ENSMUSG00000001506	18.86006	0.0003424582	0.01955386	0.5252997	0.9984822
ENSMUSG00000001507	77.96303	-0.001743587	0.024627907	0.07371056	0.954488
ENSMUSG00000001508	0.2946444	-0.0004668831	0.09909036	0.8385274	NA
ENSMUSG00000001517	6.39792	0.000174587	0.020711577	0.7444291	0.9984822
ENSMUSG00000001518	106.6609	-0.0004678981	0.013190854	0.4521457	0.9984822
ENSMUSG00000001520	94.87092	0.0002473315	0.013392506	0.6645676	0.9984822
ENSMUSG00000001521	93.9603	-0.0005386503	0.016084838	0.3734464	0.9984822
ENSMUSG00000001524	67.31235	-0.0002098026	0.012566673	0.7150467	0.9984822
ENSMUSG00000001525	1900.449	-0.0009486183	0.012130874	0.2050015	0.9893112
ENSMUSG00000001542	139.2358	1.722103e-05	0.011673805	0.9757589	0.9994695
ENSMUSG00000001552	320.6953	0.0001630135	0.0109597	0.7769196	0.9984822
ENSMUSG00000001555	34.65978	0.0004745495	0.016422233	0.4135045	0.9984822
ENSMUSG00000001558	2.680375	-0.003032937	0.093950642	0.1503833	0.9805731
ENSMUSG00000001569	215.5656	-0.001261368	0.014877134	0.1399984	0.9805731
ENSMUSG00000001576	544.2179	-0.0005628088	0.010539296	0.3797813	0.9984822
ENSMUSG00000001583	0.3021154	-0.000591375	0.101540997	0.7994704	NA
ENSMUSG00000001588	0.2429496	-0.000348052	0.100537027	0.8803288	NA
ENSMUSG00000001604	0.9781863	0.0008413247	0.057878776	0.5387522	NA
ENSMUSG00000001627	157.337	0.0002101772	0.010438773	0.7162637	0.9984822
ENSMUSG00000001630	219.3127	0.0004058528	0.010417037	0.5039135	0.9984822
ENSMUSG00000001632	210.1574	-0.0002427134	0.008750674	0.6743559	0.9984822
ENSMUSG00000001642	253.7833	-0.003621384	0.032415719	0.02718244	0.7461404
ENSMUSG00000001655	0.05980673	-0.001265559	0.109235814	0.6053751	NA
ENSMUSG00000001663	33.36425	0.0006442471	0.017505904	0.3006922	0.9984822
ENSMUSG00000001665	15.77461	0.000559567	0.021648799	0.3428893	0.9984822
ENSMUSG00000001666	73.48216	0.0003970557	0.013874659	0.5057752	0.9984822
ENSMUSG00000001670	0.5720384	-0.000285951	0.069661037	0.8685839	NA
ENSMUSG00000001672	2.75929	0.000985654	0.050021347	0.3798268	0.9984822
ENSMUSG00000001674	116.6042	-0.0003010345	0.011308465	0.6116936	0.9984822
ENSMUSG00000001687	1278.65	-8.868529e-05	0.009022336	0.8747206	0.9984822
ENSMUSG00000001700	92.19137	-0.0001594344	0.012229141	0.7802426	0.9984822
ENSMUSG00000001707	94.80892	0.0001326698	0.012441095	0.8149596	0.9984822
ENSMUSG00000001729	721.3184	0.0003178443	0.008824433	0.5896785	0.9984822
ENSMUSG00000001739	2.387866	0.0005568394	0.049568373	0.6394926	0.9984822
ENSMUSG00000001741	24.89251	0.0007603811	0.01958526	0.2382413	0.9984822
ENSMUSG00000001750	67.86318	-0.003389936	0.035475512	0.02493225	0.7290422
ENSMUSG00000001751	53.58455	8.135237e-05	0.013460162	0.8820424	0.9984822
ENSMUSG00000001755	101.3396	3.516884e-05	0.010764559	0.9506237	0.9984822
ENSMUSG00000001761	89.7686	0.0001685568	0.013591396	0.7612458	0.9984822
ENSMUSG00000001763	58.88081	0.002280446	0.03260201	0.04325464	0.853116
ENSMUSG00000001767	184.4763	0.001261337	0.017966579	0.1405213	0.9805731
ENSMUSG00000001768	199.6815	-3.622234e-05	0.010156249	0.9489516	0.9984822
ENSMUSG00000001773	70.86553	0.0003041472	0.0131078	0.6031691	0.9984822
ENSMUSG00000001774	277.6048	-0.0007569057	0.012470397	0.2781981	0.9984822
ENSMUSG00000001783	658.1942	0.0005213455	0.01144408	0.4120643	0.9984822
ENSMUSG00000001785	181.9335	0.0006592663	0.011944725	0.3254217	0.9984822
ENSMUSG00000001786	260.0028	-0.002200592	0.025056954	0.057631	0.9012093
ENSMUSG00000001794	354.9954	0.0005089766	0.012586884	0.4228371	0.9984822
ENSMUSG00000001802	341.5067	-0.0005796004	0.010336721	0.368194	0.9984822
ENSMUSG00000001815	0.1750573	0	0.099713563	1	NA
ENSMUSG00000001827	1.527098	-0.0002179105	0.047081017	0.851462	NA
ENSMUSG00000001829	328.2311	9.260871e-05	0.008824325	0.86925	0.9984822
ENSMUSG00000001833	1675.376	-0.002370554	0.024045484	0.05522093	0.8985783
ENSMUSG00000001844	111.0748	0.0001206226	0.010795704	0.8328952	0.9984822
ENSMUSG00000001847	1473.572	-0.000728516	0.007956691	0.313681	0.9984822
ENSMUSG00000001855	295.3827	-4.461423e-05	0.012097762	0.9370211	0.9984822
ENSMUSG00000001864	72.09698	0.0001690675	0.012136959	0.7680153	0.9984822
ENSMUSG00000001870	41.47078	-0.000717546	0.015700601	0.2868285	0.9984822
ENSMUSG00000001891	517.4118	-0.001238105	0.015337551	0.1453329	0.9805731
ENSMUSG00000001901	12.16553	-0.0004655397	0.020415777	0.409899	0.9984822
ENSMUSG00000001909	277.5459	0.0001637691	0.009265835	0.7732279	0.9984822
ENSMUSG00000001910	457.7227	-0.0004103947	0.009226954	0.4979917	0.9984822
ENSMUSG00000001911	228.8766	-0.0006104485	0.01798467	0.3143215	0.9984822
ENSMUSG00000001918	12.16826	0.0005910874	0.021056204	0.3202097	0.9984822
ENSMUSG00000001924	1853.397	0.0007328383	0.010750879	0.2840159	0.9984822
ENSMUSG00000001930	130.4374	0.01449893	0.115435166	0.003157989	0.3418218
ENSMUSG00000001942	116.3275	0.001251727	0.018872432	0.1374796	0.9805731
ENSMUSG00000001943	4.161021	-0.001863427	0.064178343	0.1835867	0.9833355
ENSMUSG00000001946	59.335	-0.0001351012	0.012854858	0.8101116	0.9984822
ENSMUSG00000001948	8.975697	0.0009246441	0.031158787	0.212726	0.9917004
ENSMUSG00000001962	70.11631	-0.0002009263	0.012539096	0.72617	0.9984822
ENSMUSG00000001964	105.372	-0.0008309949	0.016083432	0.242251	0.9984822
ENSMUSG00000001983	40.64643	0.002039145	0.02706519	0.05638457	0.8985783
ENSMUSG00000001985	577.5444	-0.0007105215	0.015274804	0.2936736	0.9984822
ENSMUSG00000001986	1662.997	-0.00145498	0.017962538	0.1160869	0.9805731
ENSMUSG00000001988	5.200822	-0.004509789	0.098836501	0.05612978	0.8985783
ENSMUSG00000001995	263.3164	-0.0007227728	0.013337036	0.2958189	0.9984822
ENSMUSG00000001998	167.6733	2.284888e-05	0.010882183	0.9679091	0.9988845
ENSMUSG00000001999	67.54273	0.0001237158	0.013554822	0.8220699	0.9984822
ENSMUSG00000002006	962.9847	0.0005409547	0.011558565	0.3983146	0.9984822
ENSMUSG00000002007	29.06053	-2.481852e-05	0.016397815	0.9605568	0.9984822
ENSMUSG00000002010	505.9152	8.911267e-05	0.008976136	0.8741119	0.9984822
ENSMUSG00000002012	542.5743	-4.821666e-05	0.011224892	0.9324165	0.9984822
ENSMUSG00000002014	186.303	0.0001514817	0.010020007	0.7907021	0.9984822
ENSMUSG00000002015	217.8009	0.0004255595	0.010031703	0.4849514	0.9984822
